fold,clean_md5,noise_environment,noise_repeat,offset_key_version,seeds,ok,noise_draw_id_unique_count,noise_draw_id,noise_offset_unique_count,noise_offset,noise_sha256_unique_count,noise_sha256,selected_channel_unique_count,selected_channel,global_noise_seed_unique_count,global_noise_seed
0,0087b3873541a379748a345b960d0af7,DWASHING,0,demand_noise_offset_v2,42|2024|3407,True,1,0897b09e31ec702bc3cc99f3159bfe431430b22e44d880b8a61b7f8fba491370,1,5365855.0,1,ff033b73096b456e83fa0fbf21625a80fcbb24af6c3c1bfe9aa94587ca64f394,1,1.0,1,3407.0
0,0087b3873541a379748a345b960d0af7,STRAFFIC,0,demand_noise_offset_v2,42|2024|3407,True,1,5b2c96dc8bccf6675e1e95f7c4dbb2b2a52b85a8344b936618874398a0ce4ef7,1,5012885.0,1,5cd76b6a746746009de5d2b3e6955a3facbb7d1f9e5ba3450140372694dc33f1,1,1.0,1,3407.0
0,0087b3873541a379748a345b960d0af7,TBUS,0,demand_noise_offset_v2,42|2024|3407,True,1,02da84c0410565fc576d6badab5bb26701c3c02137907ee16341836a9ec3d1e5,1,8536096.0,1,4c24b6789b7a96fa5500d0a785093324ffbbb01a772914cef9483762a2d8c34f,1,1.0,1,3407.0
0,00e146b24fd459e3f6e2e9469eebe4c4,DWASHING,0,demand_noise_offset_v2,42|2024|3407,True,1,91469ad7168277348cb4cc6627391ad73617f269531b5d48298d70a3edd4139e,1,465031.0,1,ff033b73096b456e83fa0fbf21625a80fcbb24af6c3c1bfe9aa94587ca64f394,1,1.0,1,3407.0
0,00e146b24fd459e3f6e2e9469eebe4c4,STRAFFIC,0,demand_noise_offset_v2,42|2024|3407,True,1,92246a32b7423ccfb448a6000d3b7993f0c5b1c08936d7b1bdc8e1c15eb68dcc,1,7157294.0,1,5cd76b6a746746009de5d2b3e6955a3facbb7d1f9e5ba3450140372694dc33f1,1,1.0,1,3407.0
0,00e146b24fd459e3f6e2e9469eebe4c4,TBUS,0,demand_noise_offset_v2,42|2024|3407,True,1,257329c0ee9fde00b6e7a24e3b7a802792e759142c91103ab9d49a98308ec884,1,2503329.0,1,4c24b6789b7a96fa5500d0a785093324ffbbb01a772914cef9483762a2d8c34f,1,1.0,1,3407.0
0,01f9891a3e4465b442eb23655620dc44,DWASHING,0,demand_noise_offset_v2,42|2024|3407,True,1,ca203b11d831f9c841914cac9ddeaf2cf2d0831b64939f8571d1b16f0070bbe3,1,7744499.0,1,ff033b73096b456e83fa0fbf21625a80fcbb24af6c3c1bfe9aa94587ca64f394,1,1.0,1,3407.0
0,01f9891a3e4465b442eb23655620dc44,STRAFFIC,0,demand_noise_offset_v2,42|2024|3407,True,1,62db810f37590ca70a736221b90f47f0708900ef3adc3923d3a8143f9a60daf6,1,4733514.0,1,5cd76b6a746746009de5d2b3e6955a3facbb7d1f9e5ba3450140372694dc33f1,1,1.0,1,3407.0
0,01f9891a3e4465b442eb23655620dc44,TBUS,0,demand_noise_offset_v2,42|2024|3407,True,1,7f3ffb2aecbe8afa337d23e52d57f28938e570cec9f92f28fb78f86821849efd,1,2451719.0,1,4c24b6789b7a96fa5500d0a785093324ffbbb01a772914cef9483762a2d8c34f,1,1.0,1,3407.0
0,025adb61783547ff9a35c44600e53f23,DWASHING,0,demand_noise_offset_v2,42|2024|3407,True,1,63e36b0f14a43275bbdf0463c495aa5dcacdc627f235e891949fdcf18f44ccf7,1,6580198.0,1,ff033b73096b456e83fa0fbf21625a80fcbb24af6c3c1bfe9aa94587ca64f394,1,1.0,1,3407.0
0,025adb61783547ff9a35c44600e53f23,STRAFFIC,0,demand_noise_offset_v2,42|2024|3407,True,1,32bbc980b7ba3ef8e3f12ecda5c77e9a1ba8327628f31db21ebfa07e90dd653b,1,4830558.0,1,5cd76b6a746746009de5d2b3e6955a3facbb7d1f9e5ba3450140372694dc33f1,1,1.0,1,3407.0
0,025adb61783547ff9a35c44600e53f23,TBUS,0,demand_noise_offset_v2,42|2024|3407,True,1,732b75110338725e3f6e332cebd314ccb8a840850b35f2ec70e716074fdb34b3,1,8033351.0,1,4c24b6789b7a96fa5500d0a785093324ffbbb01a772914cef9483762a2d8c34f,1,1.0,1,3407.0
0,04444d7ef6c62b6da94486d0aced7cd9,DWASHING,0,demand_noise_offset_v2,42|2024|3407,True,1,3c3935f432a83058fb2ab7e0dfda83323b87787e56e0e49f78b9b40cf452ccfd,1,4096288.0,1,ff033b73096b456e83fa0fbf21625a80fcbb24af6c3c1bfe9aa94587ca64f394,1,1.0,1,3407.0
0,04444d7ef6c62b6da94486d0aced7cd9,STRAFFIC,0,demand_noise_offset_v2,42|2024|3407,True,1,0eecaf142259a162b902440a6b32b7f7f8412035f2ccb280d749bf733c22c39b,1,6805150.0,1,5cd76b6a746746009de5d2b3e6955a3facbb7d1f9e5ba3450140372694dc33f1,1,1.0,1,3407.0
0,04444d7ef6c62b6da94486d0aced7cd9,TBUS,0,demand_noise_offset_v2,42|2024|3407,True,1,3ce5b2c4a8894ff524a8dbf3a40b1bd75ad0d7a2530b0e8fb286db632c885c4c,1,4922811.0,1,4c24b6789b7a96fa5500d0a785093324ffbbb01a772914cef9483762a2d8c34f,1,1.0,1,3407.0
0,07cbbc074a5616ad1173d36f2d5a9c57,DWASHING,0,demand_noise_offset_v2,42|2024|3407,True,1,a8a58d25f1b7ba91843c38145466391aa40766cf14f7a16c642b5e33fe837a29,1,7478024.0,1,ff033b73096b456e83fa0fbf21625a80fcbb24af6c3c1bfe9aa94587ca64f394,1,1.0,1,3407.0
