fold,seed,clean_path,clean_md5,original_valid_samples,noise_dataset,noise_environment,noise_file,noise_sha256,selected_channel,target_snr_db,simulated_noise,noise_protocol,real_farm_external_validation,noise_offset,noise_seed,clean_active_rms,noise_active_rms_before_gain,gain,achieved_active_snr_db,achieved_full_window_snr_db,peak_before_scale,final_global_scale,clipping_detected,valid_start
0,3407,data/raw/sow_call_dataset_labeled/feeding/461-1.wav,81b6b443e611971e62ee7f480b5e80b8,64000,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,2922.336669921875,1.0,False,
0,3407,data/raw/sow_call_dataset_labeled/calm_grunt/74-0.wav,231dcdc74cf41f59690ae1408467d2ee,64000,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,15060.4111328125,1.0,False,
0,3407,data/external/korea_raw/dry_cough/train_dry_16871.wav,0087b3873541a379748a345b960d0af7,15649,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,0.3525345027446747,1.0,False,
0,3407,data/raw/sow_call_dataset_labeled/anxious_stress/1567-3.wav,d76bf0e98eb7f34a4269a6dcebf2b860,64000,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,12315.2744140625,1.0,False,
0,3407,data/external/korea_raw/abdominal_cough/train_abdominal_00145.wav,e49ea7e3eb02dd8208d5767cc2a865bd,13760,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,0.29196712374687195,1.0,False,
0,3407,data/raw/sow_call_dataset_labeled/calm_grunt/126-0.wav,36fb7ca69b77d3439d07d4eed5009620,64000,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,8063.4423828125,1.0,False,
0,3407,data/raw/sow_call_dataset_labeled/feeding/422-1.wav,ad0e6cc5f381d90941387e48ac3c90e5,64000,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,6356.1337890625,1.0,False,
0,3407,data/raw/sow_call_dataset_labeled/frightened_stress/1033-2.wav,8922fbed7e0303ce8677c3bc946a39ed,63995,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,2086.1435546875,1.0,False,
0,3407,data/external/korea_raw/dry_cough/train_dry_08957.wav,24488fa53abe2228b8830f93c083ba5d,16000,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,0.7788500189781189,1.0,False,
0,3407,data/raw/sow_call_dataset_labeled/calm_grunt/191-0.wav,3edbcd7e4d484f1fa45cd8c3904ed2b2,64000,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,17262.4921875,1.0,False,
0,3407,data/external/korea_raw/dry_cough/train_dry_03883.wav,d33384b82a4c07ee3479d6a84e6a107a,16000,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,0.3525902330875397,1.0,False,
0,3407,data/raw/sow_call_dataset_labeled/calm_grunt/164-0.wav,d61f937fb7139f1bd2472783afd2378a,64000,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,15080.0439453125,1.0,False,
0,3407,data/external/korea_raw/dry_cough/train_dry_05642.wav,88d7f4aa29a5020b78bb91ee3a01937f,13056,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,0.38746991753578186,1.0,False,
0,3407,data/raw/sow_call_dataset_labeled/feeding/386-1.wav,14e3565af5b36ce69c196167511c0621,64000,,clean,,,,clean,False,zero_shot_frozen,False,,,,,,,,2623.255126953125,1.0,False,
