fold,seed,clean_path,clean_md5,y_true,aux_true,original_valid_samples,valid_duration_ratio,noise_dataset,noise_environment,noise_file,noise_sha256,environment_recording_id,selected_channel,global_noise_seed,snr_reference,target_active_snr_db,simulated_noise,noise_protocol,real_farm_external_validation,noise_offset,noise_seed,noise_draw_id,noise_repeat,offset_key_version,clean_active_rms,noise_active_rms_before_gain,gain,achieved_active_snr_db,achieved_full_window_snr_db,peak_before_scale,final_global_scale,clipping_detected,valid_start,target_snr_db
4,123,data/raw/sow_call_dataset_labeled/calm_grunt/186-0.wav,a6715b5e6a938dc9b020d200b1f61e2c,calm_grunt,calm_grunt,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,7071.5703125,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/calm_grunt/8-0.wav,41711fb8e7dec4ccf0bf65f20f0d80cd,calm_grunt,calm_grunt,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,10878.8349609375,1.0,False,,
4,123,data/external/korea_raw/dry_cough/train_dry_06162.wav,84f825b34753e6eb643ccd97c00552b5,cough,dry_cough,12000,0.1875,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,0.6110395193099976,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/anxious_stress/1572-3.wav,744badd3db932b79cd3c1c09751ea52c,stress_vocal,anxious_stress,63986,0.99978125,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,26404.853515625,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/calm_grunt/97-0.wav,680ee7d8a1df411422fc389c804f0d56,calm_grunt,calm_grunt,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,16195.8818359375,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/calm_grunt/131-0.wav,cf68c0c0bf113b5e3a55e1267ed9015a,calm_grunt,calm_grunt,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,16365.89453125,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/frightened_stress/730-2.wav,f53b81b2317e77f265ad93ae762febfd,stress_vocal,frightened_stress,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,6494.46875,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/frightened_stress/1049-2.wav,3f811891b633845d2746f5a8353e0a33,stress_vocal,frightened_stress,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,1373.5482177734375,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/calm_grunt/118-0.wav,dc3f9a9cfccda752488281b9897807a7,calm_grunt,calm_grunt,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,14441.7099609375,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/frightened_stress/663-2.wav,41163b88d4418338432cd35238ebc126,stress_vocal,frightened_stress,63608,0.993875,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,1243.858642578125,1.0,False,,
4,123,data/external/korea_raw/dry_cough/train_dry_15030.wav,bebde349443d9d5a3467fe614cbe3819,cough,dry_cough,12224,0.191,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,0.5421010851860046,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/feeding/435-1.wav,a8583c3ac7a35a9c1af4c2e45c9898d7,feeding,feeding,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,21107.16015625,1.0,False,,
4,123,data/external/korea_raw/abdominal_cough/train_abdominal_10561.wav,07d12568769fc1692ce1607426703a8a,cough,abdominal_cough,14017,0.219015625,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,0.6907747387886047,1.0,False,,
4,123,data/external/korea_raw/abdominal_cough/train_abdominal_16083.wav,30fa513d32b8a1c603067f76aaf50631,cough,abdominal_cough,13216,0.2065,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,0.23789054155349731,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/feeding/310-1.wav,e182903ad8aa68909edd26a68eb2ab0f,feeding,feeding,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,1309.4605712890625,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/anxious_stress/1439-3.wav,562d41a925310e65e447295c973efdaf,stress_vocal,anxious_stress,63990,0.99984375,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,12125.08984375,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/calm_grunt/128-0.wav,3f06ec7a2f88ceb07d4604b0570bc2e6,calm_grunt,calm_grunt,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,9557.998046875,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/calm_grunt/276-0.wav,f2b0a0f6b7af7d82f79a6d1194c48d0f,calm_grunt,calm_grunt,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,15576.4482421875,1.0,False,,
4,123,data/raw/sow_call_dataset_labeled/feeding/447-1.wav,b30c4fb8e9c0ecddb1f6f7bae516aacc,feeding,feeding,64000,1.0,,clean,,,,,,clean,clean,False,zero_shot_frozen,False,,,,,,,,,,,2244.32373046875,1.0,False,,
