path,label,subtype,source_id,md5
data/external/korea_raw/abdominal_cough/train_abdominal_03337.wav,cough,abdominal_cough,abdominal_cough::train_abdominal_03337,0227b0ef8f000bee6f2b4a67ab0b7c8f
data/raw/sow_call_dataset_labeled/frightened_stress/601-2.wav,stress_vocal,frightened_stress,frightened_stress::601-2,facadbb7d6b67efd6f1f8f02d6674278
data/raw/sow_call_dataset_labeled/anxious_stress/1743-3.wav,stress_vocal,anxious_stress,anxious_stress::1743-3,58a2a88d4d84274e714db3e8741df45e
data/raw/sow_call_dataset_labeled/feeding/356-1.wav,feeding,feeding,feeding::356-1,1a3e666e12466df05f2f65a96d2eb51a
data/raw/sow_call_dataset_labeled/frightened_stress/1143-2.wav,stress_vocal,frightened_stress,frightened_stress::1143-2,4f36202c857861136bf61cbd3dd081d6
data/raw/sow_call_dataset_labeled/frightened_stress/807-2.wav,stress_vocal,frightened_stress,frightened_stress::807-2,0d37a14464822f0415e24576e7b3037d
data/raw/sow_call_dataset_labeled/anxious_stress/1552-3.wav,stress_vocal,anxious_stress,anxious_stress::1552-3,d848afc54834a5dd4868d72424f17a8b
data/external/korea_raw/abdominal_cough/train_abdominal_16721.wav,cough,abdominal_cough,abdominal_cough::train_abdominal_16721,52d7fb56d35d8700c82fdc15e0897805
data/raw/sow_call_dataset_labeled/feeding/352-1.wav,feeding,feeding,feeding::352-1,372df451b0dfb2dabf66a630db6d51a8
data/raw/sow_call_dataset_labeled/feeding/460-1.wav,feeding,feeding,feeding::460-1,9d7d404d388649c907b00f837693230c
data/raw/sow_call_dataset_labeled/feeding/289-1.wav,feeding,feeding,feeding::289-1,0bdfa247933cecd0b4c2941adbe3b7c9
data/raw/sow_call_dataset_labeled/feeding/477-1.wav,feeding,feeding,feeding::477-1,6c77894842c4e808af8c44fa31d0aae3
data/raw/sow_call_dataset_labeled/calm_grunt/94-0.wav,calm_grunt,calm_grunt,calm_grunt::94-0,083fe5439201a8673d96165fd26e8dff
data/raw/sow_call_dataset_labeled/frightened_stress/500-2.wav,stress_vocal,frightened_stress,frightened_stress::500-2,dcf1c3f844bae9f6b1bb3f502b8b660f
data/external/korea_raw/dry_cough/train_dry_17126.wav,cough,dry_cough,dry_cough::train_dry_17126,99f6582a424774880cea0d6b1105f362
data/external/korea_raw/dry_cough/train_dry_11522.wav,cough,dry_cough,dry_cough::train_dry_11522,c7529acae9a93cb7e01454f8580f1945
data/external/korea_raw/dry_cough/train_dry_03255.wav,cough,dry_cough,dry_cough::train_dry_03255,9842a52f817d801a141109b56c43a8e7
data/external/korea_raw/abdominal_cough/train_abdominal_10793.wav,cough,abdominal_cough,abdominal_cough::train_abdominal_10793,5978c62c5158ac703fe55462e13e424d
data/raw/sow_call_dataset_labeled/frightened_stress/886-2.wav,stress_vocal,frightened_stress,frightened_stress::886-2,ba7fbe278f43c26727e87234d52bcee4
