filepath,label,source,source_id
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-45-49_855__rank003__p0.950__280.70-282.80.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-45-49_855
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank001__p0.995__141.50-143.80.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-51-50_372
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank002__p0.995__292.50-294.80.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-51-50_372
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank003__p0.994__284.50-286.70.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-51-50_372
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank006__p0.988__250.00-252.20.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-51-50_372
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank007__p0.986__319.20-321.40.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-51-50_372
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank009__p0.982__307.80-310.00.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-51-50_372
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank011__p0.977__359.30-361.50.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-51-50_372
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank012__p0.976__171.00-173.20.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-51-50_372
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank013__p0.975__331.10-333.20.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-51-50_372
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank014__p0.968__219.20-221.40.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-51-50_372
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank019__p0.962__238.60-240.80.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-51-50_372
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-51-50_372__rank020__p0.959__353.80-355.90.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-51-50_372
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-57-50_867__rank004__p0.956__85.60-87.80.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-57-50_867
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-57-50_867__rank006__p0.941__17.30-19.10.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-57-50_867
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-57-50_867__rank007__p0.935__3.20-5.00.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-57-50_867
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-57-50_867__rank013__p0.909__33.00-34.90.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-57-50_867
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-57-50_867__rank015__p0.883__134.60-137.10.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-57-50_867
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-57-50_867__rank016__p0.861__130.30-132.20.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-57-50_867
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_00-57-50_867__rank019__p0.840__8.80-10.50.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_00-57-50_867
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-03-51_362__rank004__p0.992__245.20-248.60.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_01-03-51_362
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-03-51_362__rank007__p0.962__268.50-271.20.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_01-03-51_362
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-03-51_362__rank008__p0.960__243.20-245.70.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_01-03-51_362
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-03-51_362__rank010__p0.956__248.80-251.00.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_01-03-51_362
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-03-51_362__rank018__p0.906__240.50-242.20.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_01-03-51_362
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-15-52_167__rank001__p0.991__137.60-139.40.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_01-15-52_167
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-15-52_167__rank004__p0.968__138.60-140.40.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_01-15-52_167
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-15-52_167__rank005__p0.968__317.50-320.80.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_01-15-52_167
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-15-52_167__rank006__p0.968__302.70-305.70.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_01-15-52_167
C:\py\pigsound\pig-sound-classification\det_round4_clips\reviewed\cough_clean\ALA_E_2_2020-09-30_01-15-52_167__rank007__p0.964__159.80-161.50.wav,cough,round4_review_cough_clean,ala_e_2_2020-09-30_01-15-52_167
